State,"Number of 
Participating 
Agencies","Population 
Covered"
TOTAL,"14,601","29,65,27,998"
Alabama,418,"50,33,518"
Alaska,32,"4,50,712"
Arizona,92,"53,07,431"
Arkansas,361,"30,29,333"
California,654,"3,00,04,853"
Colorado,226,"59,14,071"
Connecticut,108,"36,75,069"
Delaware,63,"10,51,917"
District of Columbia,2,"7,02,250"
Florida,159,"1,39,33,073"
Georgia,434,"1,04,02,990"
Hawaii,4,"14,46,146"
Idaho,112,"19,97,727"
Illinois,685,"1,19,44,355"
Indiana,240,"60,82,277"
Iowa,265,"30,84,265"
Kansas,326,"28,84,464"
Kentucky,452,"45,88,372"
Louisiana,151,"38,36,939"
Maine,127,"13,94,909"
Maryland,147,"62,33,437"
Massachusetts,399,"71,17,646"
Michigan,601,"98,83,008"
Minnesota,400,"57,88,088"
Mississippi,156,"16,86,116"
Missouri,509,"61,33,318"
Montana,110,"11,35,493"
Nebraska,250,"19,84,289"
Nevada,57,"32,60,346"
New Hampshire,215,"14,05,906"
New Jersey,370,"70,43,274"
New Mexico,104,"19,34,760"
New York,194,"1,41,82,101"
North Carolina,393,"1,05,43,278"
North Dakota,107,"7,91,040"
Ohio,641,"1,11,18,870"
Oklahoma,471,"40,95,393"
Oregon,208,"42,19,895"
Pennsylvania,202,"66,18,568"
Rhode Island,48,"11,10,883"
South Carolina,447,"54,72,057"
South Dakota,101,"8,32,620"
Tennessee,395,"72,20,116"
Texas,"1,531","3,10,98,882"
Utah,139,"34,39,646"
Vermont,87,"6,48,493"
Virginia,413,"88,09,350"
Washington,256,"79,20,519"
West Virginia,286,"16,55,249"
Wisconsin,398,"58,47,605"
Wyoming,55,"5,33,081"
