State,Agency Type,Agency Name,Population1,"Total
Offenses","Crimes
Against
Persons","Crimes
Against
Property","Crimes
Against
Society","Assault
Offenses","Aggravated
Assault","Simple
Assault",Intimidation,"Homicide
Offenses","Murder and
Nonnegligent
Manslaughter","Negligent
Man-
slaughter","Justifiable
Homicide","Human
Trafficking
Offenses","Commercial
Sex Acts","Involuntary
Servitude","Kidnapping/
Abduction","Sex
Offenses",Rape,Sodomy,"Sexual
Assault
With an
Object","Criminal
Sexual
Contact2",Incest,"Statutory
Rape",Arson,Bribery,"Burglary/
Breaking &
Entering","Counter-
feiting/
Forgery","Destruction/
Damage/
Vandalism
of Property","Embezzle-
ment","Extortion/
Blackmail","Fraud
Offenses","False
Pretenses/
Swindle/
Confidence
Game","Credit
Card/
Automated
Teller
Machine
Fraud","Imper-
sonation","Welfare
Fraud","Wire
Fraud","Identity 
Theft","Hacking/
Computer 
Invasion","Larceny/
Theft
Offenses","Pocket-
picking","Purse-
snatching","Shop-
lifting","Theft
From
Building","Theft
From
Coin Op-
erated
Machine
or Device","Theft
From
Motor
Vehicle","Theft of 
Motor 
Vehicle
Parts or
Acces-
sories","All
Other
Larceny","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses","Animal 
Cruelty","Drug/
Narcotic
Offenses","Drug/
Narcotic
Violations","Drug
Equipment
Violations","Gambling
Offenses","Betting/
Wagering","Operating/
Promoting/
Assisting
Gambling","Gambling
Equipment
Violations","Sports
Tampering","Por-
nography/
Obscene
Material","Pros-
titution
Offenses","Pros-
titution","Assisting or
Promoting
Prostitution","Purchasing
Prostitution","Weapon
Law
Violations"
ALABAMA,City,Abbeville,"2,386",297,66,66,165,64,8,46,10,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,9,2,12,0,0,12,1,6,1,0,0,4,0,26,0,0,1,4,0,4,0,17,1,1,3,0,164,98,66,0,0,0,0,0,0,0,0,0,0,1
ALABAMA,City,Adamsville,"4,111",389,92,217,80,90,21,47,22,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,12,6,30,1,0,26,11,7,0,2,2,4,0,105,0,0,47,14,0,2,3,39,22,0,13,3,71,46,25,0,0,0,0,0,0,0,0,0,0,6
ALABAMA,City,Addison,669,61,17,25,19,17,3,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,3,0,2,0,0,0,1,0,10,0,0,1,4,0,1,0,4,2,0,0,0,18,11,7,0,0,0,0,0,1,0,0,0,0,0
ALABAMA,City,Alabaster,"34,349","1,236",269,697,270,265,29,220,16,0,0,0,0,0,0,0,1,3,1,0,0,0,0,2,0,0,17,10,69,0,0,79,14,24,2,0,1,38,0,487,1,0,324,18,0,23,8,113,21,4,10,4,258,171,87,0,0,0,0,0,1,0,0,0,0,7
ALABAMA,City,Albertville,"23,242","1,434",506,673,255,481,38,306,137,1,1,0,0,0,0,0,2,22,14,0,0,4,1,3,2,0,67,17,108,0,2,77,13,28,0,1,1,34,0,338,0,0,44,36,0,26,5,227,48,3,11,5,229,146,83,5,3,2,0,0,5,0,0,0,0,11
ALABAMA,City,Alexander City,"14,353","1,892",733,846,313,712,129,503,80,4,4,0,0,0,0,0,4,13,6,1,0,1,0,5,5,0,78,4,154,1,1,80,17,33,3,0,2,25,0,478,16,1,139,71,0,53,14,184,28,11,6,5,287,192,95,0,0,0,0,0,3,0,0,0,0,18
ALABAMA,City,Aliceville,"2,019",48,19,27,2,19,4,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,0,0,1,0,1,0,0,0,0,0,11,0,0,3,1,0,1,1,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
ALABAMA,City,Andalusia,"8,838","1,075",424,472,179,411,49,306,56,0,0,0,0,1,1,0,2,10,7,0,0,3,0,0,3,0,36,9,98,1,1,39,9,17,1,0,0,12,0,254,18,0,100,31,0,11,0,94,24,3,4,6,168,98,70,0,0,0,0,0,3,0,0,0,0,2
ALABAMA,City,Anniston,"21,052","2,688",827,"1,386",475,802,140,321,341,4,4,0,0,0,0,0,2,19,9,6,1,2,0,1,5,0,215,36,277,7,1,99,2,72,0,2,0,23,0,628,0,0,119,1,0,110,0,398,95,18,5,2,457,283,174,0,0,0,0,0,2,1,0,1,0,13
ALABAMA,City,Arab,"8,960","1,223",438,533,252,427,16,318,93,0,0,0,0,0,0,0,3,8,6,0,0,1,0,1,1,0,74,9,108,0,0,73,16,27,0,0,11,17,2,221,0,0,74,16,0,21,8,102,34,1,12,2,238,130,108,0,0,0,0,0,2,1,1,0,0,9
ALABAMA,City,Ardmore,"1,451",83,26,46,11,25,1,18,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,20,0,0,3,0,1,0,0,0,2,0,16,0,0,6,3,0,2,0,5,1,0,1,0,11,9,2,0,0,0,0,0,0,0,0,0,0,0
ALABAMA,City,Argo,"4,388",126,35,36,55,34,5,17,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,4,3,0,0,8,1,2,0,0,1,4,0,8,0,0,0,0,0,1,0,7,5,0,4,2,45,30,15,0,0,0,0,0,2,0,0,0,0,6
ALABAMA,City,Arley,330,23,2,11,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,6,1,0,0,0,10,6,4,0,0,0,0,0,0,0,0,0,0,0
ALABAMA,City,Ashford,"2,357",58,35,17,6,35,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,11,0,0,2,1,0,0,0,8,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,1
ALABAMA,City,Ashland,"1,928",184,94,75,15,91,15,59,17,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,7,0,19,0,0,6,1,2,2,0,0,1,0,39,2,0,5,7,0,0,1,24,3,0,1,2,9,5,4,0,0,0,0,0,4,0,0,0,0,0
ALABAMA,City,Ashville,"2,417",279,88,134,57,87,12,62,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18,4,31,0,0,12,4,1,0,1,2,4,0,53,1,0,6,11,0,2,2,31,10,2,4,1,51,34,17,0,0,0,0,0,0,0,0,0,0,5
ALABAMA,City,Athens,"32,862","1,722",537,947,238,527,69,432,26,2,2,0,0,4,0,4,0,4,3,0,0,0,0,1,1,0,40,42,137,0,0,114,22,53,2,0,2,35,0,538,27,0,184,32,0,54,13,228,58,6,11,1,226,163,63,0,0,0,0,0,0,2,0,2,0,9
ALABAMA,City,Atmore,"8,294","1,505",418,524,563,395,89,266,40,4,4,0,0,0,0,0,3,16,8,1,1,5,0,1,2,0,40,9,103,0,0,49,12,24,0,0,1,12,0,277,34,0,90,22,1,27,8,95,20,11,13,3,525,306,219,0,0,0,0,0,0,0,0,0,0,35
ALABAMA,City,Attalla,"5,813",579,150,318,111,148,18,100,30,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,24,10,48,1,2,25,10,9,0,0,1,5,0,190,16,0,76,29,0,9,2,58,16,1,1,3,102,69,33,0,0,0,0,0,3,0,0,0,0,3
ALABAMA,City,Auburn,"83,756","3,100",803,"1,485",812,781,67,629,85,0,0,0,0,0,0,0,4,18,14,2,0,2,0,0,1,1,33,53,265,2,1,253,40,77,11,0,7,118,0,792,8,0,114,59,1,150,15,445,57,8,19,4,790,521,269,0,0,0,0,0,0,0,0,0,0,18
ALABAMA,City,Bay Minette,"8,456",670,191,203,276,187,28,129,30,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,13,8,30,0,0,17,9,5,0,0,0,3,0,116,4,0,51,9,1,8,1,42,10,3,6,2,268,164,104,0,0,0,0,0,0,0,0,0,0,6
ALABAMA,City,Bayou La Batre,"2,142",396,163,205,28,159,18,106,35,0,0,0,0,0,0,0,0,4,1,0,0,2,0,1,1,0,32,3,38,0,0,15,5,8,0,0,1,1,0,97,0,0,18,9,0,11,4,55,14,0,5,0,27,18,9,0,0,0,0,0,0,0,0,0,0,1
ALABAMA,City,Bear Creek,"1,062",64,23,27,14,22,10,9,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,5,0,0,2,1,0,0,0,0,1,0,11,1,0,1,0,0,1,0,8,3,0,2,0,14,9,5,0,0,0,0,0,0,0,0,0,0,0
ALABAMA,City,Berry,"1,183",4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ALABAMA,City,Bessemer,"24,720","4,550","1,130","2,993",427,"1,087",367,562,158,11,11,0,0,1,1,0,5,26,14,1,1,8,0,2,8,0,272,46,559,3,2,225,63,97,8,6,4,47,0,"1,511",83,1,368,171,7,176,40,665,229,41,97,6,371,242,129,0,0,0,0,0,5,0,0,0,0,45
ALABAMA,City,Birmingham,"1,95,418","20,112","4,534","14,675",903,"4,350","1,901","1,795",654,118,115,2,1,0,0,0,30,36,26,4,1,4,0,1,103,1,"1,445",117,"5,107",2,12,866,212,372,11,2,24,242,3,"5,051",18,1,550,283,3,"1,558",120,"2,518","1,508",393,70,31,763,571,192,1,1,0,0,0,2,4,0,4,0,102
ALABAMA,City,Blountsville,"1,816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALABAMA,City,Brent,"2,586",323,96,126,101,87,7,64,16,0,0,0,0,1,1,0,2,6,1,1,0,3,0,1,0,0,13,1,27,0,1,9,4,4,0,0,1,0,0,68,0,0,20,2,0,6,0,40,5,0,2,0,87,46,41,0,0,0,0,0,12,0,0,0,0,2
ALABAMA,City,Brewton,"5,139",667,198,293,176,189,24,104,61,0,0,0,0,0,0,0,4,5,2,1,0,2,0,0,1,0,13,7,35,0,1,29,9,10,3,1,1,4,1,183,25,0,101,12,0,0,1,44,15,1,8,1,164,118,46,0,0,0,0,0,4,0,0,0,0,7
ALABAMA,City,Bridgeport,"2,262",129,44,57,28,42,4,27,11,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,5,1,19,0,0,4,1,0,0,0,0,3,0,19,0,0,0,2,0,3,0,14,6,1,1,1,24,15,9,0,0,0,0,0,0,0,0,0,0,3
ALABAMA,City,Brighton,"2,207",217,95,107,15,85,38,31,16,5,5,0,0,0,0,0,4,1,1,0,0,0,0,0,1,0,13,1,23,0,0,19,10,5,0,0,0,2,2,33,3,0,1,4,0,7,2,16,12,4,1,2,10,4,6,0,0,0,0,0,0,0,0,0,0,3
ALABAMA,City,Brilliant,829,37,16,18,3,16,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,0,1,0,0,0,0,0,1,0,5,0,0,0,3,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
ALABAMA,City,Brookside,"1,185",98,24,51,23,24,4,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,5,3,2,0,0,0,0,0,19,4,0,1,9,0,1,1,3,7,1,2,0,23,12,11,0,0,0,0,0,0,0,0,0,0,0
ALABAMA,City,Brookwood,"2,420",111,45,52,14,42,10,30,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,14,0,0,6,0,2,0,0,1,3,0,18,0,0,1,3,0,4,0,10,5,1,0,1,12,12,0,0,0,0,0,0,0,0,0,0,0,1
ALABAMA,City,Brundidge,"2,016",320,166,150,4,165,22,108,35,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,3,46,0,0,12,5,6,0,0,0,1,0,64,1,1,8,2,0,3,1,48,8,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
ALABAMA,City,Butler,"1,737",127,37,63,27,37,5,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,10,0,0,10,5,4,0,0,0,1,0,25,0,0,6,2,0,2,3,12,4,0,3,0,27,20,7,0,0,0,0,0,0,0,0,0,0,0
ALABAMA,City,Calera,"18,747",798,227,399,172,217,39,148,30,0,0,0,0,0,0,0,1,9,4,0,0,5,0,0,0,0,24,7,59,0,5,55,13,12,3,0,2,25,0,212,19,0,77,10,0,30,2,74,24,1,12,6,156,91,65,0,0,0,0,0,3,0,0,0,0,7
ALABAMA,City,Camden,"1,667",42,13,26,3,13,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,3,1,1,0,0,0,1,0,10,0,0,0,0,0,3,0,7,2,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1
