Offense Category,"Total
Offenders1",Male,Female,Unknown Sex
Total,"1,12,64,265","73,63,030","28,93,796","10,07,439"
Crimes Against Persons,"38,05,526","26,15,080","10,92,681","97,765"
Assault Offenses,"35,29,162","23,71,279","10,67,161","90,722"
Homicide Offenses,"18,973","15,303","2,400","1,270"
Human Trafficking Offenses,"3,404","2,670",612,122
Kidnapping/Abduction,"53,098","43,717","8,572",809
Sex Offenses,"2,00,889","1,82,111","13,936","4,842"
Crimes Against Property,"51,10,695","30,15,790","12,11,709","8,83,196"
Arson,"22,746","15,373","4,183","3,190"
Bribery,913,624,262,27
Burglary/Breaking & Entering,"4,24,130","2,71,878","61,882","90,370"
Counterfeiting/Forgery,"1,10,066","66,545","29,994","13,527"
Destruction/Damage/Vandalism,"9,34,892","5,76,307","1,90,362","1,68,223"
Embezzlement,"32,318","17,879","13,473",966
Extortion/Blackmail,"12,577","5,886","2,849","3,842"
Fraud Offenses,"4,58,317","2,43,037","1,32,387","82,893"
Larceny/Theft Offenses,"23,75,186","13,19,233","6,65,848","3,90,105"
Motor Vehicle Theft,"3,42,526","1,91,673","47,266","1,03,587"
Robbery,"2,44,578","1,93,870","30,706","20,002"
Stolen Property Offenses,"1,52,446","1,13,485","32,497","6,464"
Crimes Against Society,"23,48,044","17,32,160","5,89,406","26,478"
Animal Cruelty,"23,449","13,736","8,747",966
Drug/Narcotic Offenses,"18,70,804","13,51,251","5,10,928","8,625"
Gambling Offenses,"4,923","3,550","1,228",145
Pornography/Obscene Material,"41,922","30,937","8,409","2,576"
Prostitution Offenses,"19,149","9,152","9,868",129
Weapon Law Violations,"3,87,797","3,23,534","50,226","14,037"
