Offense Category,"Total
Offenders1",White,"Black or
African
American","American 
Indian or
Alaska Native",Asian,"Native 
Hawaiian or 
Other Pacific 
Islander","Unknown
Race",,,
Total,11264265,5616383,3737005,135674,142990,30373,1601840,,,
Crimes Against Persons,3805526,1981260,1425016,51514,62147,12196,273393,,,
Assault Offenses,3529162,1821697,1346574,47845,56785,11373,244888,,,
Homicide Offenses,18973,7584,8953,240,221,57,1918,,,
Human Trafficking Offenses,3404,1468,1385,20,167,5,359,,,
Kidnapping/Abduction,53098,30990,17271,756,1055,188,2838,,,
Sex Offenses,200889,119521,50833,2653,3919,573,23390,,,
Crimes Against Property,5110695,2162337,1589206,47655,53579,12513,1245405,,,
Arson,22746,12320,5340,341,298,74,4373,,,
Bribery,913,588,230,11,13,3,68,,,
Burglary/Breaking & Entering,424130,176766,109772,3999,2972,879,129742,,,
Counterfeiting/Forgery,110066,50826,32319,810,2152,271,23688,,,
Destruction/Damage/Vandalism,934892,402967,286007,10224,8765,1996,224933,,,
Embezzlement,32318,17453,10440,293,612,74,3446,,,
Extortion/Blackmail,12577,4134,1637,53,307,26,6420,,,
Fraud Offenses,458317,191913,116661,3294,7887,1026,137536,,,
Larceny/Theft Offenses,2375186,1034633,750135,22205,23720,5478,539015,,,
Motor Vehicle Theft,342526,120638,87446,3326,2172,1189,127755,,,
Robbery,244578,70416,133830,1380,2160,858,35934,,,
Stolen Property Offenses,152446,79683,55389,1719,2521,639,12495,,,
Crimes Against Society,2348044,1472786,722783,36505,27264,5664,83042,,,
Animal Cruelty,23449,14774,6002,296,277,50,2050,,,
Drug/Narcotic Offenses,1870804,1248826,517737,31821,18935,4424,49061,,,
Gambling Offenses,4923,2027,1082,64,882,161,707,,,
Pornography/Obscene Material,41922,26735,8354,334,660,97,5742,,,
Prostitution Offenses,19149,9648,6474,105,2117,47,758,,,
Weapon Law Violations,387797,170776,183134,3885,4393,885,24724,,,
,,,,,,,,,,
,,,,,,,,,, 
