Location,"Total 
Offenses","Assault
Offenses","Homicide
Offenses","Human
Trafficking 
Offenses","Kidnapping/
Abduction",Sex Offenses
Total,4097814,3804923,17588,3563,52474,219266
Abandoned/Condemned Structure,1217,953,24,4,32,204
Air/Bus/Train Terminal,22077,20890,46,17,114,1010
Amusement Park,3231,2908,1,0,15,307
Arena/Stadium/Fairgrounds/Coliseum,4993,4749,5,1,8,230
ATM Separate From Bank,252,233,2,0,7,10
Auto Dealership New/Used,2066,2003,4,0,29,30
Bank/Savings and Loan,3235,3117,4,2,69,43
Bar/Nightclub,52812,50640,269,12,197,1694
Camp/Campground,4894,4156,23,2,74,639
Church/Synagogue/Temple/Mosque,7445,6609,17,5,57,757
Commercial/Office Building,37169,35023,139,60,344,1603
Community Center,5052,4637,14,2,45,354
Construction Site,3540,3360,7,3,41,129
Convenience Store,41588,40192,219,17,437,723
Cyberspace,26849,26695,0,154,0,0
Daycare Facility,4651,3984,0,0,67,600
Department/Discount Store,26309,25256,29,6,185,833
Dock/Wharf/Freight/Modal Terminal,1269,1190,8,1,7,63
Drug Store/Doctor's Office/Hospital,72509,67426,68,27,250,4738
Farm Facility,725,641,5,1,7,71
Field/Woods,13218,11081,258,7,220,1652
Gambling Facility/Casino/Race Track ,5522,5236,11,21,52,202
Government/Public Building,29049,26934,24,32,286,1773
Grocery/Supermarket,27339,26486,52,5,186,610
Highway/Road/Alley/Street/Sidewalk,523449,499254,5606,493,7099,10997
Hotel/Motel/Etc.,70673,60383,239,684,1932,7435
Industrial Site,2800,2662,15,0,19,104
Jail/Prison/Penitentiary/Corrections Facility,52693,49677,115,13,84,2804
Lake/Waterway/Beach,3300,2855,34,1,39,371
Liquor Store,3648,3492,41,1,44,70
Military Installation,277,243,1,0,6,27
Park/Playground,44824,40339,256,22,525,3682
Parking/Drop Lot/Garage,163434,154767,1276,98,2264,5029
Rental Storage Facility,3776,3485,13,6,74,198
Residence/Home,2339471,2156041,7698,1393,33629,140710
Rest Area,1230,1139,5,1,13,72
Restaurant,63381,60960,122,20,409,1870
School/College,13115,12113,4,3,56,939
School–College/University,20531,18510,12,5,163,1841
School–Elementary/Secondary,160953,151295,40,58,657,8903
Service/Gas Station,32986,31844,204,20,417,501
Shelter–Mission/Homeless,15116,14460,15,9,56,576
Shopping Mall,10812,10220,19,12,108,453
Specialty Store,23958,22707,56,16,225,954
Tribal Lands,2188,2050,11,0,20,107
Other/Unknown,148188,132028,577,329,1906,13348
