Location,"Total 
Offenses",Arson,Bribery,"Burglary/
Breaking &
Entering","Counterfeiting/
Forgery","Destruction/
Damage/
Vandalism",Embezzlement,"Extortion/
Blackmail","Fraud 
Offenses","Larceny/
Theft
Offenses","Motor
Vehicle
Theft",Robbery,"Stolen 
Property 
Offenses"
Total,"82,37,977","31,982",849,"6,55,847","1,42,471","15,67,082","32,845","26,555","8,91,661","38,32,550","7,50,704","1,75,072","1,30,359"
Abandoned/Condemned Structure,"6,765",468,0,"2,013",18,"2,371",2,0,173,"1,266",250,106,98
Air/Bus/Train Terminal,"41,510",173,5,462,451,"6,894",182,18,"7,179","21,428","1,640","2,396",682
Amusement Park,"4,558",14,0,235,79,629,57,1,375,"2,949",136,50,33
Arena/Stadium/Fairgrounds/Coliseum,"6,296",18,2,429,176,"1,019",17,5,364,"3,935",227,63,41
ATM Separate From Bank,"8,628",12,0,169,542,596,34,12,"4,974","1,882",51,285,71
Auto Dealership New/Used,"32,530",55,0,"2,470",980,"4,022",424,13,"5,559","8,766","9,750",100,391
Bank/Savings and Loan,"1,10,505",42,1,924,"28,270","3,880","1,149",110,"55,223","17,896",336,"2,016",658
Bar/Nightclub,"40,507",102,9,"3,338",787,"7,639",164,22,"3,545","21,843","1,620","1,190",248
Camp/Campground,"5,949",77,1,625,20,"1,484",15,10,151,"2,989",395,92,90
Church/Synagogue/Temple/Mosque,"29,799",287,3,"5,947",374,"10,865",98,19,985,"9,667","1,131",234,189
Commercial/Office Building,"2,33,174","1,114",5,"39,970","6,077","48,676","3,237",237,"21,683","94,427","13,481","2,531","1,736"
Community Center,"11,139",56,0,996,88,"2,585",62,7,542,"6,331",310,106,56
Construction Site,"61,613",198,1,"12,334",90,"10,583",115,16,665,"34,707","2,316",241,347
Convenience Store,"2,51,602",257,11,"11,821","5,833","16,628","2,356",75,"23,330","1,73,115","4,385","11,724","2,067"
Cyberspace,"1,26,829",0,30,0,"2,999",91,505,"7,182","1,15,887",0,0,0,135
Daycare Facility,"3,645",13,0,556,39,"1,033",42,3,228,"1,540",161,12,18
Department/Discount Store,"5,72,967",321,6,"12,013","5,378","12,677","4,053",75,"40,812","4,80,596","2,514","7,537","6,985"
Dock/Wharf/Freight/Modal Terminal,"4,393",38,0,359,36,723,106,4,225,"2,513",216,140,33
Drug Store/Doctor's Office/Hospital,"1,01,427",194,6,"5,089","1,968","11,094",935,81,"7,688","69,750","1,914","1,687","1,021"
Farm Facility,"7,940",64,0,"1,398",57,"1,570",37,5,212,"3,618",871,18,90
Field/Woods,"32,404","1,830",0,753,82,"8,572",17,11,669,"15,740","2,969",837,924
Gambling Facility/Casino/Race Track ,"17,504",22,0,448,"1,750","1,851",107,7,"1,760","9,860",918,349,432
Government/Public Building,"53,747",334,52,"3,133","3,486","14,196",373,250,"9,648","19,765","1,320",371,819
Grocery/Supermarket,"3,08,866",213,5,"5,781","4,553","8,895","1,735",81,"23,350","2,54,359","2,040","5,789","2,065"
Highway/Road/Alley/Street/Sidewalk,"9,97,325","4,603",217,"8,339","20,383","2,69,007",949,411,"36,767","3,32,232","2,13,412","56,205","54,800"
Hotel/Motel/Etc.,"1,06,529",343,6,"6,474",847,"21,639",448,204,"8,911","52,394","10,609","2,662","1,992"
Industrial Site,"17,737",97,3,"3,054",153,"3,940",193,11,686,"8,297","1,054",61,188
Jail/Prison/Penitentiary/Corrections Facility,"9,090",143,84,82,305,"6,159",15,67,912,"1,057",64,87,115
Lake/Waterway/Beach,"5,592",65,4,149,30,"1,140",4,4,166,"3,621",181,127,101
Liquor Store,"34,741",28,0,"2,266",610,"2,259",104,5,"1,671","26,035",286,"1,328",149
Military Installation,586,1,2,58,7,94,6,2,96,264,43,6,7
Park/Playground,"61,744","1,175",2,"1,710",228,"24,706",45,40,"2,142","24,565","1,964","4,114","1,053"
Parking/Drop Lot/Garage,"8,26,243","2,266",29,"22,031","2,259","2,16,556",796,154,"16,395","3,72,432","1,63,817","15,364","14,144"
Rental Storage Facility,"74,788",107,3,"38,300",143,"11,031",442,23,"2,744","16,813","4,595",102,485
Residence/Home,"27,59,955","13,204",265,"3,67,654","21,856","6,57,590","4,438","14,365","3,08,382","10,63,310","2,58,941","29,830","20,120"
Rest Area,"2,117",21,0,113,17,595,4,3,116,959,169,71,49
Restaurant,"1,48,719",432,4,"22,040","5,617","27,305","1,989",124,"21,497","60,615","3,685","4,444",967
School/College,"7,573",51,0,684,192,"2,183",13,35,404,"3,670",187,79,75
School–College/University,"53,885",198,7,"2,455",836,"14,058",85,475,"3,267","28,048","3,810",236,410
School–Elementary/Secondary,"50,618",698,9,"4,415",496,"16,597",139,251,"1,670","23,520","1,362",956,505
Service/Gas Station,"1,29,914",250,13,"5,648","3,041","13,319","1,429",48,"15,871","73,426","7,621","6,777","2,471"
Shelter–Mission/Homeless,"7,812",62,1,269,28,"1,570",20,21,334,"5,085",140,197,85
Shopping Mall,"71,561",100,1,"2,371",545,"4,186",297,57,"3,824","55,673","1,753","1,465","1,289"
Specialty Store ,"2,95,641",356,8,"23,535","5,066","24,884","2,572",99,"31,323","1,92,743","5,773","6,055","3,227"
Tribal Lands,"2,661",60,0,318,306,784,10,0,80,683,346,34,40
Other/Unknown,"4,98,849","1,820",54,"32,619","15,373","68,907","3,025","1,912","1,09,176","2,28,166","21,941","6,998","8,858"
