Time of Day,"Total
Incidents1","Assault
Offenses","Homicide
Offenses","Human 
Trafficking 
Offenses","Kidnapping/
Abduction",Sex Offenses
Total,"35,77,008","33,02,140","16,267","3,062","47,803","2,07,736"
Total A.M. Hours,"13,54,026","12,37,476","6,827","1,338","18,881","89,504"
Midnight–12:59 a.m.,"2,81,743","2,48,524","1,536",486,"4,011","27,186"
1 a.m.–1:59 a.m.,"1,21,259","1,13,007",795,53,"1,793","5,611"
2 a.m.–2:59 a.m.,"1,00,797","93,284",779,55,"1,555","5,124"
3 a.m.–3:59 a.m.,"75,675","69,617",566,38,"1,283","4,171"
4 a.m.–4:59 a.m.,"56,636","52,065",425,37,944,"3,165"
5 a.m.–5:59 a.m.,"46,642","43,072",354,22,801,"2,393"
6 a.m.–6:59 a.m.,"53,334","49,383",339,33,816,"2,763"
7 a.m.–7:59 a.m.,"78,407","73,153",334,70,"1,073","3,777"
8 a.m.–8:59 a.m.,"1,18,956","1,08,269",389,117,"1,529","8,652"
9 a.m.–9:59 a.m.,"1,27,120","1,16,653",395,158,"1,548","8,366"
 10 a.m.–10:59 a.m.,"1,41,298","1,30,095",419,151,"1,661","8,972"
 11 a.m.–11:59 a.m.,"1,52,159","1,40,354",496,118,"1,867","9,324"
Total P.M. Hours,"21,87,929","20,36,668","9,209","1,653","28,410","1,11,989"
Noon–12:59 p.m.,"1,80,168","1,63,727",493,220,"2,181","13,547"
1 p.m.–1:59 p.m.,"1,60,815","1,48,263",474,157,"1,904","10,017"
2 p.m.–2:59 p.m.,"1,71,170","1,57,803",578,150,"1,979","10,660"
3 p.m.–3:59 p.m.,"1,87,974","1,73,837",671,147,"2,197","11,122"
4 p.m.–4:59 p.m.,"1,87,877","1,74,693",687,143,"2,357","9,997"
5 p.m.–5:59 p.m.,"1,89,706","1,77,101",735,136,"2,536","9,198"
6 p.m.–6:59 p.m.,"1,94,417","1,81,917",818,138,"2,777","8,767"
7 p.m.–7:59 p.m.,"1,93,286","1,81,947",821,131,"2,428","7,959"
8 p.m.–8:59 p.m.,"1,96,626","1,84,652",936,126,"2,529","8,383"
9 p.m.–9:59 p.m.,"1,89,929","1,78,594","1,031",102,"2,520","7,682"
 10 p.m.–10:59 p.m.,"1,78,240","1,66,756","1,001",124,"2,645","7,714"
 11 p.m.–11:59 p.m.,"1,57,721","1,47,378",964,79,"2,357","6,943"
Unknown Time of Day,"35,053","27,996",231,71,512,"6,243"
