Time of Day,"Total
Incidents1","Animal 
Cruelty","Drug/
Narcotic
Offenses","Gambling
Offenses","Pornography/
Obscene
Material","Prostitution
Offenses","Weapon 
Law
Violations"
Total,"20,25,345","25,160","15,77,175","3,273","50,342","16,239","3,53,156"
Total A.M. Hours,"8,03,789","9,741","6,23,895","1,017","23,225","4,883","1,41,028"
Midnight–12:59 a.m.,"1,74,356","1,586","1,32,240",152,"7,284","1,769","31,325"
1 a.m.–1:59 a.m.,"89,530",256,"69,609",60,645,542,"18,418"
2 a.m.–2:59 a.m.,"70,258",160,"53,828",42,483,293,"15,452"
3 a.m.–3:59 a.m.,"46,087",137,"35,217",25,405,117,"10,186"
4 a.m.–4:59 a.m.,"29,052",128,"21,551",16,373,72,"6,912"
5 a.m.–5:59 a.m.,"21,237",167,"15,495",11,348,46,"5,170"
6 a.m.–6:59 a.m.,"26,833",260,"20,608",22,575,84,"5,284"
7 a.m.–7:59 a.m.,"41,929",569,"33,547",22,"1,281",189,"6,321"
8 a.m.–8:59 a.m.,"63,385","1,302","49,812",63,"2,986",278,"8,944"
9 a.m.–9:59 a.m.,"73,659","1,597","58,804",137,"2,899",334,"9,888"
 10 a.m.–10:59 a.m.,"83,118","1,783","66,240",235,"3,111",519,"11,230"
 11 a.m.–11:59 a.m.,"84,345","1,796","66,944",232,"2,835",640,"11,898"
Total P.M. Hours,"11,94,592","15,091","9,31,726","2,194","25,876","11,150","2,08,555"
Noon–12:59 p.m.,"87,452","2,134","66,931",254,"4,065",804,"13,264"
1 p.m.–1:59 p.m.,"90,640","1,779","71,572",238,"3,056",782,"13,213"
2 p.m.–2:59 p.m.,"97,373","1,813","76,816",224,"3,194",841,"14,485"
3 p.m.–3:59 p.m.,"1,00,498","1,753","79,342",215,"2,951",898,"15,339"
4 p.m.–4:59 p.m.,"97,305","1,663","76,483",177,"2,359",861,"15,762"
5 p.m.–5:59 p.m.,"91,519","1,501","70,790",207,"1,965",856,"16,200"
6 p.m.–6:59 p.m.,"91,562","1,246","70,635",171,"1,735",898,"16,877"
7 p.m.–7:59 p.m.,"98,666",957,"76,633",163,"1,583",969,"18,361"
8 p.m.–8:59 p.m.,"1,05,499",799,"82,161",199,"1,597","1,015","19,728"
9 p.m.–9:59 p.m.,"1,09,474",588,"84,722",136,"1,352","1,185","21,491"
 10 p.m.–10:59 p.m.,"1,13,636",498,"88,482",115,"1,105","1,133","22,303"
 11 p.m.–11:59 p.m.,"1,10,968",360,"87,159",95,914,908,"21,532"
Unknown Time of Day,"26,964",328,"21,554",62,"1,241",206,"3,573"
