"Type of Weapon/
Force Involved","Assault
Offenses","Homicide
Offenses3","Human
Trafficking
Offenses","Kidnapping/
Abduction",Sex Offenses,"Extortion/
Blackmail",Robbery,"Weapon 
Law 
Violations"
Firearms,"2,65,026","12,193",107,"5,169","2,040",350,"58,720","2,68,863"
Firearm,"90,890","4,546",49,"1,237",582,142,"14,156","66,944"
Automatic Firearm,"1,835",134,0,20,11,3,249,"1,281"
Handgun,"1,44,210","6,189",55,"3,401","1,293",138,"40,322","1,71,586"
Automatic Handgun,"3,245",164,0,71,34,1,717,"4,069"
Rifle,"12,337",565,1,207,22,38,"1,564","12,614"
Automatic Rifle,572,33,0,14,3,6,86,429
Shotgun,"4,294",170,0,121,20,2,358,"5,980"
Automatic Shotgun,40,2,0,1,1,1,4,59
Other Firearm,"7,448",386,2,97,68,17,"1,245","5,743"
Automatic Other Firearm,155,4,0,0,6,2,19,158
Knife/Cutting Instrument,"1,27,633","1,519",16,"2,312","1,364",59,"15,981","37,168"
Personal Weapons,"19,80,149",766,696,"25,829","1,11,294","1,387","63,646","1,366"
All Other,"4,95,019","3,665",886,"6,688","26,061","3,727","22,158","36,880"
Blunt Object,"76,178",304,6,668,567,24,"5,609","7,963"
Motor Vehicle,"38,285","1,437",9,728,41,3,819,406
Poison,884,12,0,10,41,1,156,104
Explosives,470,4,0,3,1,12,58,"2,512"
Fire/Incendiary Device,"1,805",95,0,31,10,8,65,467
Drugs/Narcotics/Sleeping Pills,"1,249",386,53,54,"1,246",4,50,408
Asphyxiation,"24,725",155,5,495,540,1,300,56
Other Weapon,"2,74,135",587,245,"2,453","6,570","2,076","10,415","19,581"
Unknown Weapons,"77,288",685,568,"2,246","17,045","1,598","4,686","5,383"
No Weapon/Force Involved,"2,66,193",,"1,888","13,970","69,950","21,096","21,278","18,866"
