State,"Number of 
Participating
Agencies","Population
Covered","Total 
Offenses","Assault
Offenses","Homicide
Offenses","Human
Trafficking
Offenses","Kidnapping/
Abduction","Sex 
Offenses"
Total,"14,601","29,65,27,998","40,97,814","38,04,923","17,588","3,563","52,474","2,19,266"
Alabama,418,"50,33,518","82,427","79,522",463,101,309,"2,032"
Alaska,32,"4,50,712","7,549","6,729",35,4,54,727
Arizona,92,"53,07,431","77,172","71,754",317,117,863,"4,121"
Arkansas,361,"30,29,333","62,625","58,801",246,14,721,"2,843"
California,654,"3,00,04,853","3,46,568","3,12,676","1,254",433,"8,990","23,215"
Colorado,226,"59,14,071","74,075","65,060",336,88,"2,576","6,015"
Connecticut,108,"36,75,069","29,917","27,917",117,24,311,"1,548"
Delaware,63,"10,51,917","17,353","16,634",68,6,228,417
District of Columbia,2,"7,02,250","22,320","21,437",179,0,49,655
Florida,159,"1,39,33,073","1,37,104","1,30,073",583,139,"1,559","4,750"
Georgia,434,"1,04,02,990","1,36,519","1,24,974",780,306,"2,576","7,883"
Hawaii,4,"14,46,146","12,354","11,345",23,20,194,772
Idaho,112,"19,97,727","18,793","16,542",40,13,282,"1,916"
Illinois,685,"1,19,44,355","2,01,455","1,90,185",793,25,"1,350","9,102"
Indiana,240,"60,82,277","81,556","74,217",459,92,"1,936","4,852"
Iowa,265,"30,84,265","34,578","32,238",93,26,261,"1,960"
Kansas,326,"28,84,464","44,798","40,843",161,0,"1,476","2,318"
Kentucky,452,"45,88,372","49,427","44,722",341,70,"1,052","3,242"
Louisiana,151,"38,36,939","62,043","58,459",381,49,732,"2,422"
Maine,127,"13,94,909","12,583","11,582",54,4,32,911
Maryland,147,"62,33,437","85,353","80,458",490,76,181,"4,148"
Massachusetts,399,"71,17,646","75,183","70,445",145,32,556,"4,005"
Michigan,601,"98,83,008","1,62,416","1,50,621",634,107,773,"10,281"
Minnesota,400,"57,88,088","49,623","44,203",229,93,583,"4,515"
Mississippi,156,"16,86,116","20,408","19,317",143,7,99,842
Missouri,509,"61,33,318","90,460","84,657",558,48,906,"4,291"
Montana,110,"11,35,493","15,239","13,134",41,11,349,"1,704"
Nebraska,250,"19,84,289","25,240","23,233",81,47,210,"1,669"
Nevada,57,"32,60,346","62,811","58,497",214,215,735,"3,150"
New Hampshire,215,"14,05,906","14,860","13,153",40,10,253,"1,404"
New Jersey,370,"70,43,274","61,172","57,588",197,17,409,"2,961"
New Mexico,104,"19,34,760","44,007","40,553",253,40,"1,232","1,929"
New York,194,"1,41,82,101","2,93,674","2,83,318",520,46,"1,355","8,435"
North Carolina,393,"1,05,43,278","1,49,116","1,39,668",865,54,"1,750","6,779"
North Dakota,107,"7,91,040","12,595","11,336",30,12,145,"1,072"
Ohio,641,"1,11,18,870","1,58,131","1,46,236",611,51,"2,047","9,186"
Oklahoma,471,"40,95,393","71,932","65,708",332,54,826,"5,012"
Oregon,208,"42,19,895","43,242","38,803",199,29,480,"3,731"
Pennsylvania,202,"66,18,568","83,008","76,095",579,46,419,"5,869"
Rhode Island,48,"11,10,883","9,597","9,010",26,9,35,517
South Carolina,447,"54,72,057","96,369","91,144",467,40,948,"3,770"
South Dakota,101,"8,32,620","13,670","12,552",57,9,142,910
Tennessee,395,"72,20,116","1,47,919","1,39,310",704,92,"2,052","5,761"
Texas,"1,531","3,10,98,882","4,79,367","4,50,195","1,950",546,"3,877","22,799"
Utah,139,"34,39,646","41,685","34,759",103,64,"1,386","5,373"
Vermont,87,"6,48,493","4,281","3,873",25,1,104,278
Virginia,413,"88,09,350","1,11,971","1,03,871",517,83,"2,036","5,464"
Washington,256,"79,20,519","88,744","81,301",366,69,"1,572","5,436"
West Virginia,286,"16,55,249","15,815","14,194",108,15,160,"1,338"
Wisconsin,398,"58,47,605","52,126","46,069",357,89,"1,231","4,380"
Wyoming,55,"5,33,081","6,584","5,912",24,20,72,556
