Offense Category,"Total
Offenses","Number of
Offenses
Completed","Number of
Offenses
Attempted"
Total,"1,43,61,136","1,39,82,630","3,78,506"
Crimes Against Persons,"40,97,814","40,87,838","9,976"
Assault Offenses1,"38,04,923","38,04,923",
Homicide Offenses1,"17,588","17,588",
Human Trafficking Offenses,"3,563","3,275",288
Kidnapping/Abduction,"52,474","49,797","2,677"
Sex Offenses,"2,19,266","2,12,255","7,011"
Crimes Against Property,"82,37,977","78,81,802","3,56,175"
Arson,"31,982","30,302","1,680"
Bribery,849,682,167
Burglary/Breaking & Entering,"6,55,847","6,10,873","44,974"
Counterfeiting/Forgery,"1,42,471","1,36,437","6,034"
Destruction/Damage/Vandalism,"15,67,082","15,56,841","10,241"
Embezzlement,"32,845","32,425",420
Extortion/Blackmail,"26,555","14,918","11,637"
Fraud Offenses,"8,91,661","8,25,784","65,877"
Larceny/Theft Offenses,"38,32,550","37,21,395","1,11,155"
Motor Vehicle Theft,"7,50,704","6,64,655","86,049"
Robbery,"1,75,072","1,58,635","16,437"
Stolen Property Offenses,"1,30,359","1,28,855","1,504"
Crimes Against Society,"20,25,345","20,12,990","12,355"
Animal Cruelty,"25,160","24,496",664
Drug/Narcotic Offenses,"15,77,175","15,71,939","5,236"
Gambling Offenses,"3,273","2,927",346
Pornography/Obscene Material,"50,342","49,012","1,330"
Prostitution Offenses,"16,239","15,416",823
Weapon Law Violations,"3,53,156","3,49,200","3,956"
