Offense Category,Incidents1,Offenses,Victims2,"Known
Offenders3"
Total,12225903,14361136,15049355,11264265
Crimes Against Persons,3577008,4097814,4097814,3805526
Assault Offenses,3302140,3804923,3804923,3529162
Homicide Offenses,16267,17588,17588,18973
Human Trafficking Offenses,3062,3563,3563,3404
Kidnapping/Abduction,47803,52474,52474,53098
Sex Offenses,207736,219266,219266,200889
Crimes Against Property,8237977,8237977,8926112,5110695
Arson,31982,31982,38692,22746
Bribery,849,849,910,913
Burglary/Breaking & Entering,655847,655847,764570,424130
Counterfeiting/Forgery,142471,142471,155778,110066
Destruction/Damage/Vandalism,1567082,1567082,1703699,934892
Embezzlement,32845,32845,34691,32318
Extortion/Blackmail,26555,26555,27344,12577
Fraud Offenses,891661,891661,967387,458317
Larceny/Theft Offenses,3832550,3832550,4071229,2375186
Motor Vehicle Theft,750704,750704,783253,342526
Robbery,175072,175072,229338,244578
Stolen Property Offenses,130359,130359,149221,152446
Crimes Against Society,2025345,2025345,2025429,2348044
Animal Cruelty,25160,25160,25160,23449
Drug/Narcotic Offenses,1577175,1577175,1577191,1870804
Gambling Offenses,3273,3273,3273,4923
Pornography/Obscene Material,50342,50342,50342,41922
Prostitution Offenses,16239,16239,16239,19149
Weapon Law Violations,353156,353156,353224,387797
