Offense Category,"Total
Victims1",Adult,Juvenile2,Unknown Age
Total,"1,04,05,580","94,97,571","7,49,303","1,58,706"
Crimes Against Persons,"40,97,814","34,12,879","6,32,698","52,237"
Assault Offenses,"38,04,923","32,51,810","5,03,431","49,682"
Homicide Offenses,"17,588","15,567","1,783",238
Human Trafficking Offenses,"3,563","1,623","1,712",228
Kidnapping/Abduction,"52,474","42,381","9,781",312
Sex Offenses,"2,19,266","1,01,498","1,15,991","1,777"
Crimes Against Property,"63,07,766","60,84,692","1,16,605","1,06,469"
Arson,"23,628","21,112",958,"1,558"
Bribery,654,561,46,47
Burglary/Breaking & Entering,"5,57,776","5,41,715","9,013","7,048"
Counterfeiting/Forgery,"71,197","67,205",442,"3,550"
Destruction/Damage/Vandalism,"13,03,494","12,68,112","16,780","18,602"
Embezzlement,"9,682","9,363",82,237
Extortion/Blackmail,"26,960","22,568","4,263",129
Fraud Offenses,"7,92,160","7,68,162","8,639","15,359"
Larceny/Theft Offenses,"25,05,747","24,14,072","54,350","37,325"
Motor Vehicle Theft,"7,13,702","7,01,970","2,711","9,021"
Robbery,"1,95,772","1,77,537","16,325","1,910"
Stolen Property Offenses,"1,06,994","92,315","2,996","11,683"
