Offense Category,"Total
Victims1","10 and
Under",11−15,16−20,21−25,26−30,31−35,36−40,41−45,46−50,51−55,56−60,61−65,"66 and
Over","Unknown
Age"
Total,"1,04,05,580","1,85,274","3,50,448","7,00,215","11,07,486","11,95,712","12,31,046","10,89,811","9,37,935","7,46,690","6,71,120","5,93,564","5,06,369","9,31,204","1,58,706"
Crimes Against Persons,"40,97,814","1,68,208","3,03,815","4,05,118","4,82,428","4,98,679","5,06,261","4,29,403","3,45,484","2,50,371","2,06,626","1,67,318","1,25,030","1,56,836","52,237"
Assault Offenses,"38,04,923","1,24,750","2,43,930","3,56,460","4,52,235","4,73,965","4,83,885","4,11,189","3,31,685","2,41,392","2,00,093","1,62,600","1,21,753","1,51,304","49,682"
Homicide Offenses,"17,588",627,441,"2,183","2,211","2,075","2,068","1,813","1,538","1,086",921,693,564,"1,130",238
Human Trafficking Offenses,"3,563",136,896,972,434,240,206,156,122,64,44,31,13,21,228
Kidnapping/Abduction,"52,474","4,729","3,270","5,905","7,566","7,077","6,673","5,488","4,077","2,490","1,718","1,154",807,"1,208",312
Sex Offenses,"2,19,266","37,966","55,278","39,598","19,982","15,322","13,429","10,757","8,062","5,339","3,850","2,840","1,893","3,173","1,777"
Crimes Against Property,"63,07,766","17,066","46,633","2,95,097","6,25,058","6,97,033","7,24,785","6,60,408","5,92,451","4,96,319","4,64,494","4,26,246","3,81,339","7,74,368","1,06,469"
Arson,"23,628",482,307,720,"1,293","1,745","2,318","2,456","2,320","2,090","1,884","1,970","1,534","2,951","1,558"
Bribery,654,5,25,45,75,117,76,67,64,31,18,32,21,31,47
Burglary/Breaking & Entering,"5,57,776","2,861","3,120","19,091","44,713","54,049","62,043","59,418","54,341","46,634","44,851","42,513","38,902","78,192","7,048"
Counterfeiting/Forgery,"71,197",100,89,"1,472","2,919","3,778","4,721","4,969","5,225","5,132","5,651","6,325","6,557","20,709","3,550"
Destruction/Damage/Vandalism,"13,03,494","2,803","4,718","57,404","1,31,628","1,49,794","1,57,282","1,44,562","1,29,956","1,07,830","99,190","88,762","78,010","1,32,953","18,602"
Embezzlement,"9,682",14,24,216,427,587,740,907,932,783,856,831,795,"2,333",237
Extortion/Blackmail,"26,960",98,"2,369","5,030","3,819","2,747","2,227","1,813","1,708","1,480","1,276","1,099",975,"2,190",129
Fraud Offenses,"7,92,160","1,519","2,402","30,035","55,760","63,939","72,528","69,941","66,408","59,153","59,798","58,611","61,011","1,75,696","15,359"
Larceny/Theft Offenses,"25,05,747","5,887","24,059","1,31,781","2,71,080","2,92,183","2,96,257","2,65,718","2,33,868","1,92,118","1,78,296","1,60,634","1,41,255","2,75,286","37,325"
Motor Vehicle Theft,"7,13,702",333,608,"23,842","75,789","91,817","91,959","80,351","72,275","60,080","54,717","48,405","39,492","65,013","9,021"
Robbery,"1,95,772",991,"8,400","21,672","28,374","25,391","23,309","19,849","16,346","12,602","11,005","9,453","7,512","8,958","1,910"
Stolen Property Offenses,"1,06,994","1,973",512,"3,789","9,181","10,886","11,325","10,357","9,008","8,386","6,952","7,611","5,275","10,056","11,683"
