Offense Category,"Total
Victims1",Male,Female,Unknown Sex
Total,"1,04,05,580","50,51,550","52,62,942","91,088"
Crimes Against Persons,"40,97,814","17,37,014","23,37,412","23,388"
Assault Offenses,"38,04,923","16,79,132","21,03,587","22,204"
Homicide Offenses,"17,588","13,372","4,093",123
Human Trafficking Offenses,"3,563",480,"2,905",178
Kidnapping/Abduction,"52,474","11,777","40,513",184
Sex Offenses,"2,19,266","32,253","1,86,314",699
Crimes Against Property,"63,07,766","33,14,536","29,25,530","67,700"
Arson,"23,628","12,300","10,143","1,185"
Bribery,654,339,298,17
Burglary/Breaking & Entering,"5,57,776","3,01,221","2,52,822","3,733"
Counterfeiting/Forgery,"71,197","35,999","32,585","2,613"
Destruction/Damage/Vandalism,"13,03,494","6,30,943","6,61,942","10,609"
Embezzlement,"9,682","5,223","4,318",141
Extortion/Blackmail,"26,960","18,355","8,527",78
Fraud Offenses,"7,92,160","3,60,841","4,20,932","10,387"
Larceny/Theft Offenses,"25,05,747","13,39,279","11,43,379","23,089"
Motor Vehicle Theft,"7,13,702","4,19,628","2,88,726","5,348"
Robbery,"1,95,772","1,30,664","64,247",861
Stolen Property Offenses,"1,06,994","59,744","37,611","9,639"
