Offense Category,"Total
Victims1",White,"Black or 
African 
American","American 
Indian or
Alaska Native",Asian,"Native 
Hawaiian or
Other Pacific 
Islander","Unknown
Race"
Total,10405580,6526586,2718183,96733,345667,27345,691066
Crimes Against Persons,4097814,2477885,1287776,51183,86523,11137,183310
Assault Offenses,3804923,2279537,1220434,46900,81007,10318,166727
Homicide Offenses,17588,7941,8584,222,272,40,529
Human Trafficking Offenses,3563,1999,947,27,134,13,443
Kidnapping/Abduction,52474,35285,12998,773,1211,187,2020
Sex Offenses,219266,153123,44813,3261,3899,579,13591
Crimes Against Property,6307766,4048701,1430407,45550,259144,16208,507756
Arson,23628,13922,5959,314,576,70,2787
Bribery,654,496,91,5,10,1,51
Burglary/Breaking & Entering,557776,371157,117985,4628,29953,1391,32662
Counterfeiting/Forgery,71197,51483,8200,340,2652,150,8372
Destruction/Damage/Vandalism,1303494,793153,363171,11274,42111,2923,90862
Embezzlement,9682,7085,1348,89,385,22,753
Extortion/Blackmail,26960,20153,3423,144,1208,73,1959
Fraud Offenses,792160,554223,130926,4418,32602,1640,68351
Larceny/Theft Offenses,2505747,1630555,536255,16908,111845,6796,203388
Motor Vehicle Theft,713702,436784,188562,4408,21455,2135,60358
Robbery,195772,109764,57527,2389,13279,675,12138
Stolen Property Offenses,106994,59926,16960,633,3068,332,26075
