Offense Category,"Total
Offenders1",Adult,Juvenile2,Unknown Age
Total,"1,12,64,265","85,38,628","10,10,727","17,14,910"
Crimes Against Persons,"38,05,526","30,53,977","4,55,018","2,96,531"
Assault Offenses,"35,29,162","28,41,329","4,16,426","2,71,407"
Homicide Offenses,"18,973","15,349","1,706","1,918"
Human Trafficking Offenses,"3,404","2,945",119,340
Kidnapping/Abduction,"53,098","48,125","1,989","2,984"
Sex Offenses,"2,00,889","1,46,229","34,778","19,882"
Crimes Against Property,"51,10,695","33,36,225","3,96,038","13,78,432"
Arson,"22,746","15,562","3,259","3,925"
Bribery,913,849,21,43
Burglary/Breaking & Entering,"4,24,130","2,60,846","29,048","1,34,236"
Counterfeiting/Forgery,"1,10,066","88,337","1,685","20,044"
Destruction/Damage/Vandalism,"9,34,892","6,04,788","1,09,830","2,20,274"
Embezzlement,"32,318","28,782",818,"2,718"
Extortion/Blackmail,"12,577","5,879",658,"6,040"
Fraud Offenses,"4,58,317","3,21,665","11,598","1,25,054"
Larceny/Theft Offenses,"23,75,186","15,63,662","1,52,715","6,58,809"
Motor Vehicle Theft,"3,42,526","1,79,564","37,979","1,24,983"
Robbery,"2,44,578","1,38,074","31,970","74,534"
Stolen Property Offenses,"1,52,446","1,28,217","16,457","7,772"
Crimes Against Society,"23,48,044","21,48,426","1,59,671","39,947"
Animal Cruelty,"23,449","21,116",713,"1,620"
Drug/Narcotic Offenses,"18,70,804","17,58,682","1,00,089","12,033"
Gambling Offenses,"4,923","4,639",94,190
Pornography/Obscene Material,"41,922","23,652","14,633","3,637"
Prostitution Offenses,"19,149","18,707",178,264
Weapon Law Violations,"3,87,797","3,21,630","43,964","22,203"
