Offense Category,"Total
Offenders1","10 and
Under",11?15,16-20,21-25,26-30,31-35,36?40,41?45,46?50,51?55,56?60,61?65,"66 and
Over","Unknown
Age"
Total,"1,12,64,265","41,838","5,44,149","11,05,480","12,20,182","12,97,903","14,04,352","11,99,755","9,15,573","6,30,565","4,39,179","3,64,096","2,02,793","1,83,490","17,14,910"
Crimes Against Persons,"38,05,526","24,834","2,67,333","3,86,696","4,39,476","4,74,385","5,01,517","4,19,516","3,18,524","2,13,638","1,59,617","1,27,056","84,969","91,434","2,96,531"
Assault Offenses,"35,29,162","20,505","2,46,488","3,51,486","4,08,497","4,44,278","4,69,565","3,91,216","2,97,198","1,99,374","1,48,533","1,17,785","79,003","83,827","2,71,407"
Homicide Offenses,"18,973",12,514,"3,482","2,937","2,393","2,198","1,716","1,235",815,573,459,321,400,"1,918"
Human Trafficking Offenses,"3,404",5,59,285,438,473,503,387,258,211,182,128,66,69,340
Kidnapping/Abduction,"53,098",28,870,"4,430","7,561","8,446","8,639","7,008","5,128","3,045","2,045","1,340",854,720,"2,984"
Sex Offenses,"2,00,889","4,284","19,402","27,013","20,043","18,795","20,612","19,189","14,705","10,193","8,284","7,344","4,725","6,418","19,882"
Crimes Against Property,"51,10,695","14,672","2,03,508","4,64,441","4,97,011","5,06,900","5,40,742","4,63,244","3,39,333","2,56,859","1,61,625","1,53,975","67,153","62,800","13,78,432"
Arson,"22,746",412,"1,970","1,763","1,470","2,088","2,618","2,458","2,023","1,409",939,767,492,412,"3,925"
Bribery,913,0,9,51,134,117,158,140,107,49,33,44,12,16,43
Burglary/Breaking & Entering,"4,24,130","1,333","16,116","31,881","38,519","40,496","44,043","39,018","27,471","19,804","11,610","11,596","4,266","3,741","1,34,236"
Counterfeiting/Forgery,"1,10,066",87,586,"8,473","11,684","13,381","14,023","12,105","9,340","6,813","4,732","4,626","2,088","2,084","20,044"
Destruction/Damage/Vandalism,"9,34,892","6,534","60,783","1,02,181","1,01,636","97,908","99,229","79,479","55,836","43,579","24,042","21,680","10,484","11,247","2,20,274"
Embezzlement,"32,318",12,163,"3,068","3,991","4,136","4,500","3,955","3,299","2,365","1,724","1,199",667,521,"2,718"
Extortion/Blackmail,"12,577",19,372,761,"1,021",904,837,740,444,514,237,444,101,143,"6,040"
Fraud Offenses,"4,58,317",547,"4,980","24,617","41,248","46,644","52,208","47,440","36,318","27,464","18,114","18,674","7,348","7,661","1,25,054"
Larceny/Theft Offenses,"23,75,186","4,844","76,550","1,90,360","2,19,126","2,31,729","2,52,714","2,19,125","1,63,693","1,25,360","83,768","80,348","36,206","32,554","6,58,809"
Motor Vehicle Theft,"3,42,526",528,"20,269","36,725","27,378","26,938","28,932","25,077","17,609","15,057","7,368","7,153","2,128","2,381","1,24,983"
Robbery,"2,44,578",280,"13,983","43,589","33,686","22,697","19,175","14,544","8,371","5,640","3,054","3,104","1,140",781,"74,534"
Stolen Property Offenses,"1,52,446",76,"7,727","20,972","17,118","19,862","22,305","19,163","14,822","8,805","6,004","4,340","2,221","1,259","7,772"
Crimes Against Society,"23,48,044","2,332","73,308","2,54,343","2,83,695","3,16,618","3,62,093","3,16,995","2,57,716","1,60,068","1,17,937","83,065","50,671","29,256","39,947"
Animal Cruelty,"23,449",86,352,"1,287","2,445","2,663","3,060","2,640","2,273","1,676","1,540","1,230","1,027","1,550","1,620"
Drug/Narcotic Offenses,"18,70,804",457,"44,657","1,77,253","2,12,923","2,55,363","3,03,316","2,69,931","2,21,852","1,36,628","1,01,508","70,569","42,898","21,416","12,033"
Gambling Offenses,"4,923",4,30,263,326,470,567,576,574,492,456,333,228,414,190
Pornography/Obscene Material,"41,922",689,"10,348","6,880","4,033","3,454","3,290","2,705","1,997","1,398","1,064","1,100",558,769,"3,637"
Prostitution Offenses,"19,149",2,67,"1,324","3,198","3,151","2,801","2,394","1,808","1,280","1,097",803,497,463,264
Weapon Law Violations,"3,87,797","1,094","17,854","67,336","60,770","51,517","49,059","38,749","29,212","18,594","12,272","9,030","5,463","4,644","22,203"
